filename,Gletscher,1850F,L1850,1973F,L1973,1985,1999F,L2000,L2001,L2002,L2003,L2004,L2005,L2006,L2007,L2008,L2009,L2010,L2011,L2012,L2013
,Fläche,Länge,Fläche,Länge,Länge,Fläche,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge
,km2,km,km2,km,km,km2,km,km,km,km,km,km,km,km,km,km,km,km,km,km
arolla.csv,Arolla (Mont Collon),16.4 ,7.1 ,13.2 ,4.8 ,4.9 ,5.6 ,4.7 ,4.7 ,4.7 ,4.6 ,4.6 ,4.6 ,4.6 ,4.5 ,4.5 ,4.5 ,4.4 ,4.4 ,4.4 ,4.4
brunegg.csv,Brunegg (Turtmann),  ,  ,6.7 ,4.6 ,4.7 ,5.8 ,4.7 ,4.6 ,4.6 ,4.5 ,4.5 ,4.4 ,  ,  ,  ,  ,4.3 ,4.2 ,4.2 ,4.2
gietro.csv,Giétro,6.4 ,4.8 ,5.9 ,4.6 ,4.6 ,5.4 ,4.5 ,4.5 ,4.5 ,4.5 ,4.5 ,4.4 ,4.4 ,4.3 ,4.3 ,4.3 ,4.2 ,4.2 ,4.1 ,4.1
tschierva.csv,Tschierva,7.6 ,5.8 ,6.2 ,4.8 ,4.9 ,6.5 ,4.6 ,4.5 ,4.5 ,4.4 ,4.4 ,4.3 ,4.3 ,4.2 ,4.2 ,4.2 ,4.2 ,4.1 ,4.1 ,4.0
trient.csv,Trient,7.2 ,6.2 ,6.4 ,4.9 ,5.0 ,6.1 ,4.5 ,4.4 ,4.4 ,4.4 ,4.3 ,4.3 ,4.3 ,4.3 ,4.2 ,4.0 ,4.1 ,4.1 ,4.0 ,4.0
biferten.csv,Biferten,3.4 ,5.6 ,2.8 ,4.4 ,4.4 ,2.0 ,4.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.2 ,4.2
stein.csv,Stein,7.1 ,5.3 ,6.1 ,4.2 ,4.4 ,6.3 ,4.3 ,4.3 ,4.3 ,4.3 ,4.2 ,4.2 ,4.1 ,4.1 ,4.1 ,4.1 ,4.0 ,3.8 ,3.7 ,3.7
roseg.csv,Roseg,11.1 ,6.8 ,8.5 ,4.9 ,4.7 ,7.9 ,4.3 ,4.1 ,4.1 ,4.1 ,4.0 ,4.0 ,3.9 ,3.8 ,3.8 ,3.8 ,3.9 ,2.6 ,2.5 ,2.5
rossboden.csv,Rossboden,2.1 ,4.2 ,1.9 ,3.9 ,3.9 ,1.8 ,4.0 ,4.0 ,4.0 ,  ,  ,  ,  ,  ,4.0 ,  ,  ,  ,  ,
schwarzberg.csv,Schwarzberg,7.8 ,5.9 ,6.1 ,3.8 ,3.8 ,5.2 ,3.8 ,3.8 ,3.8 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.6 ,3.6 ,3.6
palue.csv,Palü,8.0 ,5.5 ,6.5 ,3.8 ,3.9 ,5.8 ,3.8 ,3.8 ,3.7 ,3.7 ,3.7 ,3.7 ,3.6 ,3.6 ,3.6 ,3.6 ,3.6 ,3.6 ,3.6 ,3.6
schwarz.csv,Schwarz,2.0 ,4.6 ,1.6 ,4.0 ,3.9 ,1.3 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.6 ,3.6 ,3.7 ,3.7 ,3.7 ,
tschingel.csv,Tschingel,7.5 ,5.8 ,6.2 ,3.7 ,3.7 ,5.5 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.7 ,3.6 ,3.6 ,3.6 ,3.6 ,3.6 ,3.6 ,3.5
valsorey.csv,Valsorey,3.0 ,5.1 ,2.4 ,3.8 ,3.8 ,1.9 ,3.6 ,3.6 ,3.6 ,3.6 ,3.6 ,3.5 ,3.5 ,3.5 ,3.5 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4
albigna.csv,Albigna,4.6 ,5.0 ,3.5 ,3.7 ,3.6 ,2.6 ,  ,  ,  ,  ,  ,  ,  ,  ,,3.6 ,3.6 ,3.6 ,3.5 ,3.5
tsanfleuron.csv,Tsanfleuron,7.2 ,5.4 ,3.8 ,3.7 ,3.6 ,3.0 ,3.5 ,3.5 ,3.4 ,3.4 ,3.3 ,3.3 ,3.3 ,3.2 ,3.2 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1
cheillon.csv,Cheillon,6.0 ,5.3 ,4.6 ,3.7 ,3.6 ,3.4 ,3.3 ,3.3 ,3.3 ,3.3 ,3.3 ,3.3 ,3.3 ,3.2 ,3.2 ,3.2 ,3.2 ,3.2 ,3.2 ,3.2
Silvretta,4.6 ,4.7 ,3.3 ,3.3 ,3.3 ,2.9 ,3.2 ,3.2 ,3.2 ,3.2 ,3.2 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 
moming.csv,Moming,7.6 ,4.6 ,6.4 ,3.6 ,3.6 ,5.9 ,3.2 ,3.1 ,  ,  ,  ,  ,  ,  ,  ,3.1 ,3.1 ,3.1 ,3.1 ,3.1
limmern.csv,Limmern,2.8 ,4.1 ,2.1 ,3.1 ,3.1 ,2.2 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 ,3.1 ,3.0 ,3.0 ,3.0 ,3.0
paradies.csv,Paradies,5.9 ,5.1 ,4.0 ,3.7 ,3.2 ,1.0 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.2 ,2.2
brunni.csv,Brunni,4.4 ,4.7 ,2.9 ,3.0 ,2.9 ,2.5 ,2.9 ,  ,  ,2.9 ,  ,  ,  ,  ,  ,2.9 ,  ,  ,  ,
tseudet.csv,Tseudet,2.3 ,4.2 ,1.7 ,3.0 ,2.9 ,1.1 ,2.9 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.7 ,2.7
tiefen.csv,Tiefen,4.5 ,3.8 ,3.2 ,3.0 ,2.9 ,2.4 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.7 ,2.7 ,2.7 ,2.7 ,2.7 ,2.6 ,2.6 ,2.6 ,2.5
gamchi.csv,Gamchi,2.2 ,3.5 ,1.8 ,2.8 ,2.9 ,1.5 ,2.8 ,2.8 ,2.8 ,2.7 ,2.7 ,2.7 ,2.7 ,2.7 ,2.7 ,2.7 ,2.7 ,2.6 ,2.6 ,2.5
steinlimmi.csv,Steinlimmi,3.5 ,4.2 ,2.3 ,2.8 ,2.8 ,2.0 ,2.7 ,2.7 ,2.6 ,2.6 ,2.6 ,2.5 ,2.5 ,2.5 ,2.5 ,2.4 ,2.4 ,2.4 ,1.5 ,
boveyre.csv,Boveyre,2.4 ,3.8 ,2.1 ,2.7 ,2.7 ,1.7 ,2.6 ,2.6 ,2.6 ,2.6 ,2.6 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.4 ,2.4 ,2.4 ,
bluemlisalp.csv,Blüemlisalp,3.8 ,3.5 ,3.0 ,2.7 ,2.7 ,2.7 ,2.6 ,2.6 ,2.6 ,2.5 ,2.5 ,2.5 ,2.4 ,2.4 ,2.4 ,2.4 ,2.3 ,2.3 ,2.3 ,2.2
kehlen.csv,Kehlen,4.0 ,4.3 ,3.2 ,2.6 ,2.8 ,2.0 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.4 ,2.4 ,2.4 ,2.4 ,2.3 ,2.3 ,2.3 ,2.3 ,2.2
